author,authorIsChannelOwner,channelId,channelName,channelUrl,channelUsername,cid,comment,comments,commentsCount,date,descriptionLinks,duration,formats,hasCreatorHeart,id,input,isMonetized,likes,pageUrl,publishedTimeText,replyCount,replyToCid,subtitles,text,thumbnailUrl,title,type,url,videoId,viewCount,voteCount
@Daniel12450,false,,,,,UgzRsOLPfzIOPhVXU-h4AaABAg,I can’t hear anything,,1,,,,,false,,,,,https://www.youtube.com//shorts/raCvdTe_8IE,2 weeks ago,0,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker,comment,,raCvdTe_8IE,,1
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-07T14:58:28.000Z,,,,,XposHKGicYc,https://www.youtube.com//shorts/XposHKGicYc,,27,,,,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker,shorts,https://www.youtube.com//shorts/XposHKGicYc,,2068,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-07T02:23:11.000Z,,,,,9R-qGPREn3w,https://www.youtube.com//shorts/9R-qGPREn3w,,8,,,,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker,shorts,https://www.youtube.com//shorts/9R-qGPREn3w,,434,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-12T02:36:35.000Z,,,,,8GEgGpIypS4,https://www.youtube.com//shorts/8GEgGpIypS4,,0,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #ledspeaker #showerspeaker,shorts,https://www.youtube.com//shorts/8GEgGpIypS4,,462,
@RaimundoPezao-e7h,false,,,,,Ugx7_Q69l3Yj1aDUg-F4AaABAg,Quero saber sobre a compra desta caixinha,,1,,,,,false,,,,,https://www.youtube.com//shorts/TENc71lxZS4,2 days ago,0,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #bass #basslovers #fyp,comment,,TENc71lxZS4,,0
@Dirtbikeking-s4e,false,,,,,UgzT0vnySqh8rdtc5ol4AaABAg,JBL is better,,1,,,,,false,,,,,https://www.youtube.com//shorts/NAogocclGE4,1 month ago,0,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,comment,,NAogocclGE4,,0
@AshtonTotton-u2j,false,,,,,Ugzy542NW20e_ljcT-B4AaABAg,Help him,,1,,,,,false,,,,,https://www.youtube.com//shorts/D7mHSEkqCnw,1 day ago,0,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker #waterproofspeaker,comment,,D7mHSEkqCnw,,0
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-03T15:33:01.000Z,,,,,RJ0I0wmFhhA,https://www.youtube.com//shorts/RJ0I0wmFhhA,,22,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/RJ0I0wmFhhA,,706,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-21T15:50:07.000Z,,,,,cPoey2RXmOM,https://www.youtube.com//shorts/cPoey2RXmOM,,17,,,,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker,shorts,https://www.youtube.com//shorts/cPoey2RXmOM,,1304,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-01-23T11:12:33.000Z,,,,,wwlMA53Gsu0,https://www.youtube.com//shorts/wwlMA53Gsu0,,10,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/wwlMA53Gsu0,,620,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-01-29T16:07:10.000Z,,,,,psRocOVy2bs,https://www.youtube.com//shorts/psRocOVy2bs,,20,,,,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker,shorts,https://www.youtube.com//shorts/psRocOVy2bs,,1778,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-23T13:05:11.000Z,,,,,0fJYefazTqI,https://www.youtube.com//shorts/0fJYefazTqI,,21,,,,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker #waterproofspeaker,shorts,https://www.youtube.com//shorts/0fJYefazTqI,,1181,
,,UCAxImPrIz076Dad30ctK-2g,Stephanie Warner,https://www.youtube.com/@StephanieWarner-e1y,StephanieWarner-e1y,,,,0,2025-02-13T16:00:47.000Z,,,,,bXn8888u7QI,https://www.youtube.com//shorts/bXn8888u7QI,,4,,,,,,,,#tribit #bass #bluetoothspeaker #justbasslover #subwoofers #speaker,shorts,https://www.youtube.com//shorts/bXn8888u7QI,,458,
,,UCAxImPrIz076Dad30ctK-2g,Stephanie Warner,https://www.youtube.com/@StephanieWarner-e1y,StephanieWarner-e1y,,,,0,2025-02-17T14:33:40.000Z,,,,,lmW4P8ZW-WI,https://www.youtube.com//shorts/lmW4P8ZW-WI,,11,,,,,,,,#tribit #bass #bluetoothspeaker #justbasslover #subwoofers #speaker,shorts,https://www.youtube.com//shorts/lmW4P8ZW-WI,,832,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-20T14:10:02.000Z,,,,,yc4OQKOR-2g,https://www.youtube.com//shorts/yc4OQKOR-2g,,11,,,,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker #waterproofspeaker,shorts,https://www.youtube.com//shorts/yc4OQKOR-2g,,520,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-21T14:43:17.000Z,,,,,doTKQIv_Ru0,https://www.youtube.com//shorts/doTKQIv_Ru0,,11,,,,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker #waterproofspeaker,shorts,https://www.youtube.com//shorts/doTKQIv_Ru0,,808,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-20T15:16:07.000Z,,,,,GTQhAi617zo,https://www.youtube.com//shorts/GTQhAi617zo,,24,,,,,,,,#bluetoothspeaker #showerspeaker #tribit #stormbox #basstwst #partyspeaker #waterproofspeaker,shorts,https://www.youtube.com//shorts/GTQhAi617zo,,3224,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-04T15:22:37.000Z,,,,,vNlWqbNMRwE,https://www.youtube.com//shorts/vNlWqbNMRwE,,6,,,,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker,shorts,https://www.youtube.com//shorts/vNlWqbNMRwE,,1908,
,,UCAxImPrIz076Dad30ctK-2g,Stephanie Warner,https://www.youtube.com/@StephanieWarner-e1y,StephanieWarner-e1y,,,,0,2025-02-11T16:08:59.000Z,,,,,P5ZvA5LPjpE,https://www.youtube.com//shorts/P5ZvA5LPjpE,,22,,,,,,,,#tribit #bass #bluetoothspeaker #justbasslover #subwoofers #speaker,shorts,https://www.youtube.com//shorts/P5ZvA5LPjpE,,2946,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-03T15:33:08.000Z,,,,,w0hzssF_ZnQ,https://www.youtube.com//shorts/w0hzssF_ZnQ,,10,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/w0hzssF_ZnQ,,851,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-19T16:57:22.000Z,,,,,MvobVynDQmA,https://www.youtube.com//shorts/MvobVynDQmA,,14,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/MvobVynDQmA,,1650,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-17T14:33:51.000Z,,,,,mkxrl0hQ4Us,https://www.youtube.com//shorts/mkxrl0hQ4Us,,9,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/mkxrl0hQ4Us,,649,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-01T16:05:41.000Z,,,,,dYgXwUlMeHw,https://www.youtube.com//shorts/dYgXwUlMeHw,,6,,,,,,,,#bluetoothspeaker #speaker #tribit,shorts,https://www.youtube.com//shorts/dYgXwUlMeHw,,651,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-19T14:37:46.000Z,,,,,X5QzC6O6r3w,https://www.youtube.com//shorts/X5QzC6O6r3w,,10,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/X5QzC6O6r3w,,1338,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-19T12:05:48.000Z,,,,,rDBDF4FjiL4,https://www.youtube.com//shorts/rDBDF4FjiL4,,9,,,,,,,,#speaker #tribit #overbitbass #waterproofspeaker #amazon,shorts,https://www.youtube.com//shorts/rDBDF4FjiL4,,1165,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-13T16:00:41.000Z,,,,,b1Wvvl0LvH0,https://www.youtube.com//shorts/b1Wvvl0LvH0,,38,,,,,,,,#speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/b1Wvvl0LvH0,,5225,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-13T02:51:06.000Z,,,,,Iuj8GaladWs,https://www.youtube.com//shorts/Iuj8GaladWs,,37,,,,,,,,#speaker #waterproofspeaker #tribit #bass #bathroom #automobile #goodthing #bluetoothspeaker,shorts,https://www.youtube.com//shorts/Iuj8GaladWs,,7113,
,,UCAxImPrIz076Dad30ctK-2g,Stephanie Warner,https://www.youtube.com/@StephanieWarner-e1y,StephanieWarner-e1y,,,,0,2025-02-16T14:36:03.000Z,,,,,OgHEzp8HAYs,https://www.youtube.com//shorts/OgHEzp8HAYs,,7,,,,,,,,#tribit #bass #bluetoothspeaker #justbasslover #subwoofers #speaker,shorts,https://www.youtube.com//shorts/OgHEzp8HAYs,,949,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-05T11:02:09.000Z,,,,,6QIdh9lPolY,https://www.youtube.com//shorts/6QIdh9lPolY,,7,,,,,,,,#bluetoothspeaker#speaker #tribit#waterproofspeaker,shorts,https://www.youtube.com//shorts/6QIdh9lPolY,,522,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-12T02:46:46.000Z,,,,,TfeuQ7StRHE,https://www.youtube.com//shorts/TfeuQ7StRHE,,23,,,,,,,,#speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/TfeuQ7StRHE,,3372,
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-12T15:19:36.000Z,,,,,dmnI7vLi_IM,https://www.youtube.com//shorts/dmnI7vLi_IM,,45,,,,,,,,#speaker #tribit #waterproofspeaker #jbl #bathroom #bass #goodthing,shorts,https://www.youtube.com//shorts/dmnI7vLi_IM,,4319,
