"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@gixi430","false",,,,,"UgzKFv2XwVPmLjYcNDt4AaABAg.A7aW3KlPcX2A7aby9jprjy","Sony WH-CH720 thats it",,"6",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/DKI_uKrHFg4","7 months ago","0","UgzKFv2XwVPmLjYcNDt4AaABAg",,,,"Unboxing the TRIBIT StormBox 2 Bluetooth speaker.","reply",,"DKI_uKrHFg4",,"1"
"@TechNuovo","true",,,,,"UgzKFv2XwVPmLjYcNDt4AaABAg.A7aW3KlPcX2A7acVe0xpm-"," @gixi430  Cool. I'd go Sony.",,"6",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/DKI_uKrHFg4","7 months ago","0","UgzKFv2XwVPmLjYcNDt4AaABAg",,,,"Unboxing the TRIBIT StormBox 2 Bluetooth speaker.","reply",,"DKI_uKrHFg4",,"0"
"@martinKingFB","false",,,,,"Ugz7f_CVl1XayTVa7CJ4AaABAg","I had stormbox first one was much better then upgraded two. I'm talking about bass. We all love base right? So don't waste your money like I did ...i also having votomy vt360 and i can tell it is much better than stormbox 1 or 2...or jbl 5/6. My honesty.",,"8",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s","4 months ago (edited)","2",,,,,"Tribit StormBox 2 - Affordable JBL Alternative? The Mighty Speaker!","comment",,"e2hKaHSBkt8",,"0"
"@Parag78","false",,,,,"UgzeMdTGfLETTviTEAp4AaABAg","Which one will be the best pair with XSound plus 2 as i already bought X Soundplus 2, i am confused between XSound plus 2 and Stormbox 2.",,"8",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s","2 months ago","0",,,,,"Tribit StormBox 2 - Affordable JBL Alternative? The Mighty Speaker!","comment",,"e2hKaHSBkt8",,"0"
"@nexusph3757","false",,,,,"Ugyor5tIM8Mt7b0aiQJ4AaABAg","Tribit Stormbox 2 or Tribit x sound plus 2?",,"8",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s","4 months ago","1",,,,,"Tribit StormBox 2 - Affordable JBL Alternative? The Mighty Speaker!","comment",,"e2hKaHSBkt8",,"0"
"@ramilpunzal2435","false",,,,,"Ugykn1cKVO-POrEqeOd4AaABAg","pakyu",,"8",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s","2 weeks ago","0",,,,,"Tribit StormBox 2 - Affordable JBL Alternative? The Mighty Speaker!","comment",,"e2hKaHSBkt8",,"0"
"@funlabswitch","false",,,,,"Ugybna0mUbCcY7_lO7R4AaABAg","Love the LED joypad!!!😘",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","0",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"0"
"@dionsanwolfsun3681","false",,,,,"UgyGqC1TRrUp_veBaP14AaABAg","Unique products 👍",,"14",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"3"
"@scotty2167","false",,,,,"Ugyq3LumbYfUtGUNMMZ4AaABAg","Great video and info mate thanks 🍻",,"14",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"1"
"@rctechtime","false",,,,,"Ugw6YvmxXGAyMKbyFox4AaABAg","Great month of tech bro ! I’m interested in the speaker company and the keyboard !!",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"0"
